;;;;;;;;;;
Pais_Zona;Ano;Mes;Dia;Porcentagem_Internet;Velocidade_Internet_Mbps;Alfabetizacao_digital;Uso_Internet_movel_GB;5G_disponivel;Latitude;Longitude
;;;;;;;;;;
;;;;;;;;;;
Brasil:Rural;2010;1;1;8,05777777777778;10,8766666666667;;0,0644444444444444;0;-14,235;-51,9253
Brasil:Rural;2010;2;1;7,77125;11,09;;0,06625;0;-14,235;-51,9253
Brasil:Rural;2010;3;1;7,948;11,429;;0,109;0;-14,235;-51,9253
Brasil:Rural;2010;4;1;7,96222222222222;11,7211111111111;;0,138888888888889;0;-14,235;-51,9253
Brasil:Rural;2010;5;1;7,91571428571429;11,9871428571429;;0,164285714285714;0;-14,235;-51,9253
Brasil:Rural;2010;6;1;8,019;12,294;;0,21;0;-14,235;-51,9253
Brasil:Rural;2010;7;1;7,96555555555556;12,5688888888889;;Nao disponivel;0;-14,235;-51,9253
Brasil:Rural;2010;8;1;7,84333333333333;12,8783333333333;;0,278333333333333;0;-14,235;-51,9253
Brasil:Rural;2010;9;1;8,01818181818182;13,1372727272727;;0,279090909090909;0;-14,235;-51,9253
Brasil:Rural;2010;10;1;8,06125;13,44375;;0,31375;0;-14,235;-51,9253
Brasil:Rural;2010;11;1;7,87142857142857;13,7914285714286;;0,357142857142857;0;-14,235;-51,9253
Brasil:Rural;2010;12;1;7,84818181818182;14,0845454545455;;0,386363636363636;0;-14,235;-51,9253
Brasil:Rural;2011;1;1;10,294;14,3486666666667;;0,394666666666667;0;-14,235;-51,9253
Brasil:Rural;2011;2;1;10,31;14,6214285714286;;0,412857142857143;0;-14,235;-51,9253
Brasil:Rural;2011;3;1;10,08625;14,91125;;0,46375;0;-14,235;-51,9253
Brasil:Rural;2011;4;1;10,2022222222222;15,1555555555556;;0,477777777777778;0;-14,235;-51,9253
Brasil:Rural;2011;5;1;10,2138461538462;15,51;;0,505384615384615;0;-14,235;-51,9253
Brasil:Rural;2011;6;1;10,125;15,7625;;0,545;0;-14,235;-51,9253
Brasil:Rural;2011;7;1;10,18;16,0342857142857;;0,56;0;-14,235;-51,9253
Brasil:Rural;2011;8;1;10,0722222222222;16,3866666666667;;0,616666666666667;0;-14,235;-51,9253
Brasil:Rural;2011;9;1;10,12625;16,66375;;0,59375;0;-14,235;-51,9253
Brasil:Rural;2011;10;1;10,2757142857143;16,9514285714286;;0,66;0;-14,235;-51,9253
Brasil:Rural;2011;11;1;10,1142857142857;17,2357142857143;;0,707142857142857;0;-14,235;-51,9253
Brasil:Rural;2011;12;1;10,2227272727273;17,5272727272727;;0,730909090909091;0;-14,235;-51,9253
Brasil:Rural;2012;1;1;12,878;17,835;;0,75;0;-14,235;-51,9253
Brasil:Rural;2012;2;1;12,9841666666667;18,1133333333333;;0,770833333333333;0;-14,235;-51,9253
Brasil:Rural;2012;3;1;12,9633333333333;18,4233333333333;;0,81;0;-14,235;-51,9253
Brasil:Rural;2012;4;1;12,8725;18,7175;;0,84;0;-14,235;-51,9253
Brasil:Rural;2012;5;1;12,93;18,956;;0,83;0;-14,235;-51,9253
Brasil:Rural;2012;6;1;12,93375;19,26625;;0,88625;0;-14,235;-51,9253
